personagem,pergunta,sim,nao
Luigi,p1,1,0
Luigi,p2,1,0
Luigi,p3,0,1
Luigi,p4,0,1
Luigi,p5,0,1
Luigi,p6,0,1
Luigi,p7,0,1
Luigi,p8,0,1
Luigi,p9,0,1
Luigi,p10,0,1
Luigi,p11,1,0
Luigi,p12,0,1
Luigi,p13,1,0
Luigi,p14,0,1
Luigi,p15,0,1
Luigi,p16,0,1
Luigi,p17,0,1
Luigi,p18,0,1
Luigi,p19,0,1
Luigi,p20,0,1
Capitao America,p1,1,0
Capitao America,p2,0,1
Capitao America,p3,0,1
Capitao America,p4,0,1
Capitao America,p5,0,1
Capitao America,p6,0,1
Capitao America,p7,1,0
Capitao America,p8,0,1
Capitao America,p9,0,1
Capitao America,p10,0,1
Capitao America,p11,0,1
Capitao America,p12,0,1
Capitao America,p13,0,1
Capitao America,p14,0,1
Capitao America,p15,1,0
Thanos,p1,0,1
Thanos,p2,0,1
Thanos,p3,0,1
Thanos,p4,1,0
Thanos,p5,0,1
Thanos,p6,0,1
Thanos,p7,0,1
Thanos,p8,0,1
Thanos,p9,0,1
Thanos,p10,0,1
Thanos,p11,0,1
Thanos,p12,0,1
Thanos,p13,0,1
Thanos,p14,0,1
Thanos,p15,0,1
Thanos,p16,0,1
Thanos,p17,0,1
Thanos,p18,0,1
Thanos,p19,0,1
Thanos,p20,0,1
Thanos,p21,0,1
Thanos,p22,0,1
